109621;Sliding Two Fingers Up
145149;Doing other things
53606;Rolling Hand Forward
1417;Swiping Left
136684;Pushing Hand Away
84699;Rolling Hand Backward
101900;Rolling Hand Forward
112711;Swiping Down
58332;Swiping Up
41292;Rolling Hand Backward
104397;No gesture
69548;Thumb Up
99321;Doing other things
100308;Pushing Hand Away
100570;Pulling Two Fingers In
74645;No gesture
17730;Zooming In With Two Fingers
21970;Swiping Down
41818;Sliding Two Fingers Down
125065;Doing other things
15296;Thumb Down
132668;Swiping Left
116046;Rolling Hand Backward
94271;Swiping Right
63179;Stop Sign
120105;Sliding Two Fingers Down
54864;Rolling Hand Backward
61598;Sliding Two Fingers Left
73962;Zooming Out With Two Fingers
132580;Stop Sign
136151;Doing other things
76786;Doing other things
87058;Swiping Left
129812;Stop Sign
132561;Doing other things
94046;Doing other things
2122;No gesture
15356;Shaking Hand
128638;Sliding Two Fingers Left
36576;No gesture
68882;Doing other things
21382;Zooming Out With Two Fingers
87983;Stop Sign
10754;Swiping Right
87810;Zooming Out With Two Fingers
93895;Doing other things
110890;Sliding Two Fingers Down
112214;Turning Hand Clockwise
37095;Turning Hand Counterclockwise
96675;No gesture
93129;Rolling Hand Forward
20982;Pushing Two Fingers Away
107647;Turning Hand Clockwise
62435;No gesture
90649;Swiping Down
17120;Zooming In With Full Hand
144891;Zooming Out With Two Fingers
24965;Zooming Out With Two Fingers
45170;No gesture
116056;No gesture
8146;Rolling Hand Forward
127319;Zooming Out With Full Hand
113245;Zooming Out With Full Hand
136575;Shaking Hand
72446;Thumb Down
129885;Rolling Hand Backward
43595;Doing other things
125787;Turning Hand Clockwise
134399;Pulling Hand In
143191;Rolling Hand Forward
142018;Zooming In With Two Fingers
115768;Swiping Down
122857;Sliding Two Fingers Right
39287;Zooming Out With Two Fingers
85748;Thumb Down
90036;Sliding Two Fingers Down
63088;Pulling Hand In
11540;Swiping Down
33716;Sliding Two Fingers Left
142372;Rolling Hand Backward
59394;Swiping Right
58700;Turning Hand Clockwise
144019;Drumming Fingers
140124;Turning Hand Counterclockwise
12313;Zooming In With Full Hand
15469;Turning Hand Clockwise
55050;Swiping Down
120851;Pushing Two Fingers Away
114308;Swiping Left
133320;Pulling Two Fingers In
128009;Drumming Fingers
51195;Swiping Down
82225;Rolling Hand Backward
140349;Doing other things
109022;Sliding Two Fingers Up
13769;Shaking Hand
67702;Rolling Hand Backward
13175;Zooming Out With Full Hand
78565;Pushing Two Fingers Away
11864;Thumb Up
64193;Pushing Hand Away
54139;Pulling Two Fingers In
88280;Swiping Left
14330;Zooming Out With Two Fingers
20726;Doing other things
129629;Pulling Hand In
138240;Zooming In With Two Fingers
139815;Swiping Right
38826;Sliding Two Fingers Up
18694;Sliding Two Fingers Down
53114;Thumb Down
143558;Zooming In With Two Fingers
98274;Stop Sign
32109;Sliding Two Fingers Down
85911;Rolling Hand Forward
1958;Swiping Left
55803;Zooming Out With Two Fingers
15;Stop Sign
19325;Rolling Hand Backward
141876;Rolling Hand Backward
102519;Pulling Two Fingers In
17186;Turning Hand Clockwise
132089;Rolling Hand Backward
97445;Sliding Two Fingers Right
16640;Rolling Hand Forward
26492;Doing other things
122478;Shaking Hand
142592;Doing other things
30522;Doing other things
41799;Turning Hand Counterclockwise
114270;Drumming Fingers
61036;Doing other things
32653;Doing other things
106010;Zooming In With Two Fingers
67062;Thumb Up
102069;Zooming Out With Full Hand
100536;Zooming Out With Two Fingers
36583;Swiping Down
45624;Drumming Fingers
61932;Pulling Two Fingers In
119627;Stop Sign
86917;Turning Hand Counterclockwise
144926;Doing other things
92135;Sliding Two Fingers Right
10907;Thumb Up
117258;Sliding Two Fingers Left
38493;Rolling Hand Backward
67176;Sliding Two Fingers Left
19444;Thumb Up
82101;Zooming In With Full Hand
104836;No gesture
57044;Doing other things
137405;Swiping Down
66716;Turning Hand Counterclockwise
24721;Zooming In With Full Hand
132527;Turning Hand Counterclockwise
27830;Swiping Left
8453;Rolling Hand Backward
16333;Doing other things
91199;Doing other things
107785;Rolling Hand Forward
20328;Swiping Right
49530;Doing other things
3816;Rolling Hand Forward
124476;Stop Sign
44185;Sliding Two Fingers Right
104752;Rolling Hand Backward
58090;Doing other things
26177;Sliding Two Fingers Down
1864;No gesture
48480;Zooming Out With Full Hand
28164;Sliding Two Fingers Right
22346;Doing other things
25426;Drumming Fingers
132957;Doing other things
126316;Turning Hand Counterclockwise
145229;Turning Hand Clockwise
134576;Pulling Hand In
99762;Drumming Fingers
89320;Stop Sign
111608;Swiping Down
32634;Rolling Hand Backward
118370;Swiping Left
54392;Swiping Down
145137;Thumb Up
18950;Rolling Hand Backward
17624;Rolling Hand Forward
140503;Sliding Two Fingers Down
46614;No gesture
51251;Swiping Left
31660;No gesture
82344;Swiping Left
58868;Zooming In With Two Fingers
15337;Shaking Hand
96932;Pushing Hand Away
55902;Turning Hand Counterclockwise
6474;Swiping Left
85589;Swiping Right
42442;Drumming Fingers
100244;Drumming Fingers
43102;Stop Sign
2261;Doing other things
67015;No gesture
104078;Rolling Hand Forward
86627;Thumb Up
73491;Swiping Left
5910;Pulling Hand In
131268;Zooming In With Full Hand
110869;Rolling Hand Backward
82713;Swiping Down
138676;Drumming Fingers
124836;Doing other things
16825;Stop Sign
48495;Doing other things
97065;Doing other things
40063;Doing other things
79179;Swiping Right
99927;Sliding Two Fingers Down
1132;Zooming In With Two Fingers
60582;Thumb Down
121565;Shaking Hand
96305;Swiping Down
93447;Stop Sign
30564;Turning Hand Clockwise
61611;Sliding Two Fingers Right
65321;Sliding Two Fingers Down
132820;Shaking Hand
125222;Thumb Up
30352;Thumb Down
77941;Drumming Fingers
144904;Sliding Two Fingers Down
37689;Zooming In With Full Hand
135614;Sliding Two Fingers Down
20348;Pushing Two Fingers Away
53285;Pushing Two Fingers Away
32917;Drumming Fingers
53389;Thumb Down
44998;Turning Hand Clockwise
121737;Turning Hand Clockwise
14100;Doing other things
112037;Swiping Down
138857;No gesture
103827;Pulling Two Fingers In
43105;Swiping Left
137048;Pulling Hand In
11235;Stop Sign
129300;Pushing Hand Away
97020;Pulling Hand In
47197;Swiping Right
67749;Rolling Hand Backward
23670;Thumb Up
96202;Turning Hand Counterclockwise
85048;Swiping Left
38483;Swiping Left
143464;Zooming Out With Two Fingers
101927;Turning Hand Clockwise
48365;Zooming In With Full Hand
143057;Sliding Two Fingers Right
66273;Sliding Two Fingers Down
128373;Turning Hand Counterclockwise
28635;Stop Sign
95056;Thumb Down
11030;Sliding Two Fingers Left
38084;Swiping Up
68440;Turning Hand Counterclockwise
41879;Doing other things
81229;Pulling Two Fingers In
41787;Doing other things
38297;Turning Hand Counterclockwise
141457;Sliding Two Fingers Down
97741;Zooming In With Full Hand
68829;No gesture
139370;Turning Hand Clockwise
99882;Sliding Two Fingers Down
127585;Zooming In With Two Fingers
89659;Sliding Two Fingers Right
17816;Pulling Hand In
129272;Doing other things
25521;Doing other things
128866;Thumb Up
144984;Swiping Down
32862;Swiping Up
